Category,Brand ID,Price in USD,User ID,Gender,Color,type
earring,0.0,328.63,1.515915625219296e+18,f,red,pearl
earring,0.0,157.4,1.481116091374634e+18,f,red,pearl
bracelet,1.0,182.15,1.5159156251933627e+18,f,red,mix
ring,0.0,138.22,1.5159156251560827e+18,f,white,fianit
ring,0.0,254.66,1.5159156250786368e+18,f,red,fianit
ring,0.0,347.81,1.5159156250786368e+18,f,red,fianit
earring,1.0,2773.97,1.3137533189163592e+18,f,red,mix
pendant,1.0,72.47,1.5159156251936046e+18,f,red,fianit
earring,1.0,320.96,1.3136054893297016e+18,f,white,diamond
ring,0.0,521.78,1.5159156252015306e+18,f,red,fianit
pendant,1.0,64.68,1.5159156251414948e+18,f,red,fianit
ring,2.0,260.14,1.515915625187853e+18,f,red,diamond
ring,2.0,232.74,1.515915625187853e+18,f,red,diamond
ring,2.0,232.74,1.515915625187853e+18,f,red,diamond
necklace,1.0,369.73,1.5159156250687002e+18,f,red,pearl
earring,0.0,316.3,1.515915625156145e+18,f,white,fianit
pendant,1.0,150.55,1.3136894357741245e+18,f,red,diamond
earring,0.0,335.48,1.5159156252129288e+18,f,red,quartz
ring,1.0,126.42,1.515915625179488e+18,f,red,diamond
ring,1.0,126.42,1.515915625179488e+18,f,red,diamond
ring,1.0,266.99,1.5159156251933627e+18,f,red,pearl
necklace,1.0,369.73,1.5159156250786368e+18,f,red,pearl
ring,0.0,253.29,1.5159156250786368e+18,f,red,sapphire
earring,1.0,321.88,1.5159156252085763e+18,f,red,diamond
earring,2.0,314.93,1.5159156252085763e+18,f,red,diamond
pendant,1.0,980.64,1.515915625120688e+18,f,red,diamond
earring,1.0,320.96,1.5159156252281254e+18,f,white,diamond
ring,1.0,229.86,1.5159156252281254e+18,f,white,diamond
earring,0.0,177.95,1.5159156250786368e+18,f,red,pearl
earring,1.0,191.64,1.5159156250786368e+18,f,red,pearl
ring,1.0,630.0,1.5159156252289236e+18,f,red,diamond
ring,1.0,71.1,1.5159156252289236e+18,f,red,fianit
ring,1.0,123.15,1.5159156252223375e+18,f,red,fianit
earring,1.0,534.11,1.5159156252536366e+18,f,red,pearl
ring,1.0,257.49,1.5159156251933627e+18,f,red,diamond
ring,1.0,82.05,1.5159156252540805e+18,f,red,topaz
earring,1.0,1177.95,1.5506129490794255e+18,f,red,diamond
ring,0.0,280.68,1.5506129490794255e+18,f,white,sapphire
ring,0.0,347.81,1.5159156252489992e+18,f,red,fianit
bracelet,2.0,609.45,1.5159156252127992e+18,f,red,topaz
pendant,2.0,364.11,1.5159156251773174e+18,f,red,diamond
ring,2.0,311.37,1.5159156251773174e+18,f,red,diamond
pendant,1.0,1630.14,1.515915625192773e+18,f,red,mix
earring,1.0,2232.74,1.515915625192773e+18,f,red,mix
earring,2.0,814.93,1.5159156252289236e+18,f,red,diamond
earring,1.0,451.92,1.5159156251639808e+18,f,red,topaz
ring,1.0,417.67,1.5159156251639808e+18,f,red,topaz
pendant,0.0,68.36,1.3137147436927557e+18,f,red,garnet
ring,2.0,369.73,1.5159156250786368e+18,f,red,diamond
earring,1.0,294.38,1.5159156251933627e+18,f,white,topaz
pendant,2.0,171.1,1.515915625174504e+18,f,red,diamond
ring,2.0,123.15,1.481116091374634e+18,f,white,diamond
ring,0.0,316.3,1.5159156252302036e+18,f,white,fianit
ring,1.0,483.52,1.5159156252029012e+18,f,yellow,diamond
earring,1.0,511.51,1.5159156252029012e+18,f,yellow,diamond
earring,1.0,2025.99,1.5159156250786368e+18,f,yellow,diamond
ring,0.0,1020.41,1.5159156250786368e+18,f,white,diamond
earring,0.0,177.95,1.515915625102418e+18,f,white,fianit
pendant,1.0,143.7,1.5159156252489992e+18,f,red,diamond
pendant,1.0,51.49,1.515915625150301e+18,f,red,fianit
ring,1.0,258.86,1.5159156251933627e+18,f,white,topaz
earring,1.0,316.4,1.5159156251933627e+18,f,white,topaz
ring,0.0,239.59,1.5159156252456814e+18,f,red,diamond
ring,2.0,349.18,1.5159156250786368e+18,f,white,diamond
earring,0.0,1657.4,1.5159156252163763e+18,f,red,diamond
earring,2.0,285.58,1.5159156252163763e+18,f,red,diamond
ring,2.0,311.37,1.5159156251559667e+18,f,red,diamond
earring,0.0,328.63,1.5159156252349988e+18,f,red,pearl
earring,1.0,1536.27,1.5159156250818253e+18,f,red,diamond
ring,1.0,780.68,1.5159156252350822e+18,f,red,diamond
earring,2.0,410.82,1.5159156252372657e+18,f,red,diamond
bracelet,1.0,316.3,1.481116091374634e+18,f,red,fianit
bracelet,0.0,1195.75,1.5159156250895672e+18,f,red,fianit
ring,2.0,349.18,1.5159156250329592e+18,f,white,diamond
pendant,1.0,25.89,1.463210501759566e+18,f,red,fianit
earring,1.0,66.78,1.463210501759566e+18,f,red,fianit
earring,0.0,143.7,1.5159156252223107e+18,f,red,fianit
ring,1.0,67.77,1.5159156252223107e+18,f,red,fianit
ring,1.0,94.78,1.5159156252003366e+18,f,red,fianit
necklace,1.0,198.49,1.5159156252297626e+18,f,red,topaz
ring,1.0,109.45,1.3136343076794537e+18,f,red,garnet
pendant,0.0,136.85,1.5159156250451197e+18,f,red,sapphire
ring,0.0,238.22,1.515915625120688e+18,f,white,fianit
ring,0.0,316.3,1.515915625120688e+18,f,white,fianit
ring,0.0,216.3,1.4963294402573773e+18,f,red,fianit
earring,1.0,517.67,1.5159156251933627e+18,f,red,fianit
pendant,2.0,75.21,1.5159156252383196e+18,f,red,amethyst
ring,1.0,252.05,1.5159156252383196e+18,f,red,topaz
ring,1.0,42.44,1.5159156252549304e+18,f,red,fianit
